OUT = 92.000000 	 PREOUT = 90.000000 	 ERROR = 0.302347 	 TACHO = 0.873448 	 SOURCE = 1.175795 
OUT = 94.000000 	 PREOUT = 92.000000 	 ERROR = 0.279951 	 TACHO = 0.895844 	 SOURCE = 1.175795 
OUT = 96.000000 	 PREOUT = 94.000000 	 ERROR = 0.268753 	 TACHO = 0.907042 	 SOURCE = 1.175795 
OUT = 98.000000 	 PREOUT = 96.000000 	 ERROR = 0.257555 	 TACHO = 0.929438 	 SOURCE = 1.186993 
OUT = 100.000000 	 PREOUT = 98.000000 	 ERROR = 0.223961 	 TACHO = 0.951834 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.179169 	 TACHO = 0.996626 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.201565 	 TACHO = 0.985428 	 SOURCE = 1.186993 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.167971 	 TACHO = 1.007824 	 SOURCE = 1.175795 
