//RUN 1
OUT = 74.000000 	 PREOUT = 72.000000 	 ERROR = 0.022396 	 TACHO = 0.761467 	 SOURCE = 0.783863 
OUT = 76.000000 	 PREOUT = 74.000000 	 ERROR = 0.033594 	 TACHO = 0.750269 	 SOURCE = 0.783863 
OUT = 74.000000 	 PREOUT = 76.000000 	 ERROR = 0.022396 	 TACHO = 0.761467 	 SOURCE = 0.783863 
OUT = 76.000000 	 PREOUT = 74.000000 	 ERROR = 0.022396 	 TACHO = 0.761467 	 SOURCE = 0.783863 
OUT = 74.000000 	 PREOUT = 76.000000 	 ERROR = 0.022396 	 TACHO = 0.761467 	 SOURCE = 0.783863 
OUT = 72.000000 	 PREOUT = 74.000000 	 ERROR = 0.011198 	 TACHO = 0.772665 	 SOURCE = 0.783863 
OUT = 74.000000 	 PREOUT = 72.000000 	 ERROR = 0.022396 	 TACHO = 0.761467 	 SOURCE = 0.783863 
OUT = 76.000000 	 PREOUT = 74.000000 	 ERROR = 0.033594 	 TACHO = 0.750269 	 SOURCE = 0.783863 
OUT = 78.000000 	 PREOUT = 76.000000 	 ERROR = 0.033594 	 TACHO = 0.750269 	 SOURCE = 0.783863 
OUT = 76.000000 	 PREOUT = 78.000000 	 ERROR = -0.425526 	 TACHO = 0.761467 	 SOURCE = 0.335941 
OUT = 74.000000 	 PREOUT = 76.000000 	 ERROR = 0.000000 	 TACHO = 0.795061 	 SOURCE = 0.795061 
OUT = 72.000000 	 PREOUT = 74.000000 	 ERROR = -0.537506 	 TACHO = 1.321370 	 SOURCE = 0.783863 
OUT = 68.000000 	 PREOUT = 70.000000 	 ERROR = 0.033594 	 TACHO = 0.750269 	 SOURCE = 0.783863 
OUT = 70.000000 	 PREOUT = 68.000000 	 ERROR = 0.055990 	 TACHO = 0.727873 	 SOURCE = 0.783863 
OUT = 72.000000 	 PREOUT = 70.000000 	 ERROR = 0.078386 	 TACHO = 0.705477 	 SOURCE = 0.783863 
OUT = 74.000000 	 PREOUT = 72.000000 	 ERROR = 0.078386 	 TACHO = 0.705477 	 SOURCE = 0.783863 
OUT = 74.000000 	 PREOUT = 76.000000 	 ERROR = 0.044792 	 TACHO = 0.739071 	 SOURCE = 0.783863 
OUT = 72.000000 	 PREOUT = 74.000000 	 ERROR = 0.022396 	 TACHO = 0.772665 	 SOURCE = 0.795061 
OUT = 70.000000 	 PREOUT = 72.000000 	 ERROR = 0.022396 	 TACHO = 0.761467 	 SOURCE = 0.783863 
OUT = 72.000000 	 PREOUT = 70.000000 	 ERROR = 0.044792 	 TACHO = 0.739071 	 SOURCE = 0.783863 
OUT = 74.000000 	 PREOUT = 72.000000 	 ERROR = 0.055990 	 TACHO = 0.727873 	 SOURCE = 0.783863 
OUT = 76.000000 	 PREOUT = 74.000000 	 ERROR = 0.055990 	 TACHO = 0.727873 	 SOURCE = 0.783863 
OUT = 74.000000 	 PREOUT = 76.000000 	 ERROR = 0.044792 	 TACHO = 0.739071 	 SOURCE = 0.783863 
OUT = 72.000000 	 PREOUT = 74.000000 	 ERROR = 0.022396 	 TACHO = 0.761467 	 SOURCE = 0.783863 
