ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2017-03-10 14:09:24 104m





Relative time;HS4D-5(24422).Ch2;HS4D-5(24422).Ch3
s;V;V
26.2384;112.64822;0.31653226
26.2385;112.25296;0.34072581
26.2386;111.46245;0.34475806
26.2387;110.47431;0.31048387
26.2388;108.89328;0.33266129
26.2389;107.90514;0.31048387
26.239;105.92885;0.34879032
26.2391;104.74308;0.33064516
26.2392;103.55731;0.30645161
26.2393;101.77866;0.34475806
26.2394;100.39526;0.36290323
26.2395;98.418972;0.375
26.2396;96.837945;0.35080645
26.2397;94.86166;0.28225806
26.2398;92.885375;0.074596774
26.2399;94.86166;0.6391129
26.24;94.071146;0.5141129
26.2401;93.873518;0.40524194
26.2402;93.675889;0.35282258
26.2403;93.675889;0.3125
26.2404;93.083004;0.35282258
26.2405;92.885375;0.375
26.2406;92.687747;0.375
26.2407;92.490119;0.30846774
26.2408;92.29249;0.34475806
26.2409;92.094862;0.34677419
26.241;104.94071;0.54233871
26.2411;108.89328;0.41733871
26.2412;110.86957;0.35483871
26.2413;112.25296;0.63508065
26.2414;113.04348;0.54032258
26.2415;113.24111;0.40120968
26.2416;113.24111;0.46774194
26.2417;113.04348;0.39516129
26.2418;113.63636;0.42540323
26.2419;112.45059;0.64919355
26.242;111.46245;0.5141129
26.2421;109.68379;0.45362903
26.2422;108.89328;0.39516129
26.2423;106.917;0.41532258
26.2424;105.73123;0.4516129
26.2425;104.54545;0.47177419
26.2426;102.7668;0.47177419
26.2427;101.3834;0.40524194
26.2428;99.604743;0.44153226
26.2429;97.628458;0.45967742
26.243;96.047431;0.47580645
26.2431;94.466403;0.47177419
26.2432;92.29249;0.40725806
26.2433;92.885375;0.43951613
26.2434;92.490119;0.44959677
26.2435;92.29249;0.44556452
26.2436;91.106719;0.49395161
26.2437;92.094862;0.35685484
26.2438;91.501976;0.45967742
26.2439;91.304348;0.42137097
26.244;91.304348;0.42741935
26.2441;91.106719;0.4375
26.2442;90.316206;0.37701613
26.2443;90.118577;0.42943548
26.2444;103.55731;0.33064516
26.2445;107.50988;0.37096774
26.2446;109.28854;0.38709677
26.2447;110.47431;0.31854839
26.2448;111.26482;0.3891129
26.2449;112.05534;0.40524194
26.245;111.66008;0.3891129
26.2451;111.26482;0.41330645
26.2452;110.47431;0.33064516
26.2453;109.88142;0.41129032
26.2454;108.69565;0.39919355
26.2455;107.70751;0.40322581
26.2456;106.52174;0.49596774
26.2457;103.95257;0.21774194
26.2458;102.7668;0.31854839
26.2459;101.77866;0.40322581
26.246;100.19763;0.41935484
26.2461;98.616601;0.39112903
26.2462;96.640316;0.34677419
26.2463;94.466403;0.3125
26.2464;92.885375;0.34677419
26.2465;92.687747;0.40120968
26.2466;92.490119;0.375
26.2467;92.29249;0.34475806
26.2468;92.29249;0.41532258
26.2469;91.699605;0.41330645
26.247;91.304348;0.42137097
26.2471;91.501976;0.41330645
26.2472;91.106719;0.375
26.2473;91.106719;0.4233871
26.2474;90.909091;0.42741935
26.2475;89.130435;0.3891129
26.2476;102.96443;0.72983871
26.2477;104.34783;0.27217742
26.2478;108.89328;0.67540323
26.2479;110.67194;0.60282258
26.248;112.25296;0.51008065
26.2481;112.64822;0.39919355
26.2482;113.04348;0.38508065
26.2483;114.03162;0.44758065
26.2484;113.63636;0.45362903
26.2485;113.24111;0.43951613
26.2486;111.85771;0.41129032
26.2487;111.26482;0.36693548
26.2488;110.27668;0.41129032
26.2489;108.3004;0.42943548
26.249;107.31225;0.43548387
26.2491;105.73123;0.41935484
26.2492;104.34783;0.37701613
26.2493;102.56917;0.40322581
26.2494;100.79051;0.41532258
26.2495;99.604743;0.39717742
26.2496;97.43083;0.33669355
26.2497;96.245059;0.43346774
26.2498;94.664032;0.44758065
26.2499;94.86166;0.4375
26.25;94.466403;0.3891129
26.2501;94.86166;0.40725806
26.2502;94.071146;0.375
26.2503;94.071146;0.42741935
26.2504;94.071146;0.41935484
26.2505;93.280632;0.41330645
26.2506;93.280632;0.4233871
26.2507;93.280632;0.38709677
26.2508;93.478261;0.41330645
26.2509;92.687747;0.43951613
26.251;104.94071;0.29637097
26.2511;109.28854;0.36290323
26.2512;111.26482;0.34879032
26.2513;112.25296;0.1875
26.2514;113.43874;0.17137097
26.2515;114.42688;0.31451613
26.2516;114.03162;0.29435484
26.2517;113.63636;0.27419355
26.2518;112.84585;0.32862903
26.2519;112.45059;0.31854839
26.252;111.66008;0.33467742
26.2521;110.67194;0.33669355
26.2522;109.09091;0.2983871
26.2523;107.50988;0.34879032
26.2524;106.12648;0.35282258
26.2525;104.54545;0.33266129
26.2526;103.16206;0.32862903
26.2527;100.98814;0.2983871
26.2528;99.802372;0.32862903
26.2529;98.221344;0.33266129
26.253;96.047431;0.33266129
26.2531;95.849802;0.26209677
26.2532;92.490119;0.29637097
26.2533;92.885375;0.35685484
26.2534;92.885375;0.37701613
26.2535;92.094862;0.2983871
26.2536;92.687747;0.36491935
26.2537;91.897233;0.31048387
26.2538;91.501976;0.30645161
26.2539;91.699605;0.29032258
26.254;91.501976;0.31451613
26.2541;91.304348;0.32056452
26.2542;90.711462;0.29435484
26.2543;90.316206;0.34879032
26.2544;105.13834;0.56653226
26.2545;107.70751;0.41330645
26.2546;109.68379;0.38508065
26.2547;111.06719;0.33870968
26.2548;112.25296;0.36895161
26.2549;112.25296;0.36290323
26.255;112.05534;0.30443548
26.2551;112.45059;0.57258065
26.2552;111.85771;0.48790323
26.2553;110.47431;0.42540323
26.2554;109.48617;0.41330645
26.2555;108.3004;0.42741935
26.2556;107.11462;0.39516129
26.2557;105.13834;0.34274194
26.2558;103.75494;0.35282258
26.2559;102.56917;0.3608871
26.256;100.79051;0.35483871
26.2561;99.209486;0.37096774
26.2562;97.233202;0.33266129
26.2563;95.849802;0.38306452
26.2564;93.873518;0.39112903
26.2565;93.280632;0.37903226
26.2566;93.083004;0.37096774
26.2567;93.280632;0.33669355
26.2568;92.885375;0.35483871
26.2569;92.490119;0.375
26.257;92.094862;0.34274194
26.2571;91.897233;0.37298387
26.2572;92.29249;0.38709677
26.2573;91.501976;0.39112903
26.2574;91.304348;0.37701613
26.2575;91.304348;0.375
26.2576;90.711462;0.30846774
26.2577;106.52174;0.21169355
26.2578;109.68379;0.29032258
26.2579;111.26482;0.30846774
26.258;112.84585;0.30443548
26.2581;114.03162;0.30241935
26.2582;114.22925;0.29233871
26.2583;115.01976;0.33064516
26.2584;114.42688;0.34677419
26.2585;114.22925;0.33467742
26.2586;113.83399;0.34274194
26.2587;112.84585;0.2983871
26.2588;111.66008;0.36895161
26.2589;109.88142;0.35483871
26.259;109.28854;0.45766129
26.2591;106.71937;0.34274194
26.2592;105.33597;0.32056452
26.2593;104.1502;0.36491935
26.2594;102.17391;0.375
26.2595;100.59289;0.35080645
26.2596;98.814229;0.37096774
26.2597;98.023715;0.34879032
26.2598;95.652174;0.38104839
26.2599;95.454545;0.39314516
26.26;95.256917;0.38709677
26.2601;95.849802;0.37298387
26.2602;95.454545;0.36895161
26.2603;95.059289;0.37701613
26.2604;94.86166;0.37903226
26.2605;94.466403;0.39112903
26.2606;94.664032;0.38306452
26.2607;95.059289;0.45967742
26.2608;93.675889;0.31451613
26.2609;93.280632;0.32258065
26.261;112.64822;0.63709677
26.2611;109.28854;0.44153226
26.2612;111.85771;0.35685484
26.2613;113.04348;0.55645161
26.2614;114.03162;0.58870968
26.2615;114.22925;0.34274194
26.2616;114.62451;0.42741935
26.2617;114.62451;0.39112903
26.2618;113.83399;0.4233871
26.2619;113.04348;0.4233871
26.262;112.45059;0.43346774
26.2621;111.66008;0.42741935
26.2622;109.88142;0.41129032
26.2623;108.69565;0.44354839
26.2624;107.11462;0.44153226
26.2625;105.73123;0.41733871
26.2626;103.75494;0.41733871
26.2627;101.97628;0.37096774
26.2628;100.19763;0.20362903
26.2629;99.011858;0.59879032
26.263;97.233202;0.48790323
26.2631;95.256917;0.46774194
26.2632;93.478261;0.38306452
26.2633;93.083004;0.42943548
26.2634;93.478261;0.4375
26.2635;93.083004;0.41129032
26.2636;93.083004;0.41532258
26.2637;92.490119;0.41330645
26.2638;92.29249;0.44354839
26.2639;92.094862;0.43145161
26.264;92.094862;0.43346774
26.2641;91.699605;0.43548387
26.2642;91.501976;0.40725806
26.2643;90.513834;0.43145161
26.2644;90.513834;0.41532258
26.2645;106.917;0.32862903
26.2646;109.48617;0.35887097
26.2647;110.47431;0.14919355
26.2648;111.66008;0.41532258
26.2649;112.64822;0.39314516
26.265;112.45059;0.37096774
26.2651;112.05534;0.38709677
26.2652;111.46245;0.37096774
26.2653;111.26482;0.41129032
26.2654;109.88142;0.41129032
26.2655;108.49802;0.36693548
26.2656;107.70751;0.40725806
26.2657;105.73123;0.36491935
26.2658;104.1502;0.38306452
26.2659;102.7668;0.40725806
26.266;101.3834;0.38508065
26.2661;100;0.40725806
26.2662;98.023715;0.37701613
26.2663;96.442688;0.41129032
26.2664;93.478261;0.34677419
26.2665;93.675889;0.38508065
26.2666;93.675889;0.42540323
26.2667;93.675889;0.42540323
26.2668;93.478261;0.43951613
26.2669;93.083004;0.43346774
26.267;92.687747;0.41733871
26.2671;92.687747;0.43346774
26.2672;92.094862;0.42943548
26.2673;91.897233;0.43346774
26.2674;91.897233;0.43951613
26.2675;91.699605;0.43346774
26.2676;91.304348;0.44556452
26.2677;106.32411;0.53830645
26.2678;109.88142;0.52419355
26.2679;111.66008;0.48991935
26.268;113.24111;0.48387097
26.2681;120.35573;0.52016129
26.2682;114.62451;0.37903226
26.2683;115.01976;0.44153226
26.2684;114.62451;0.42741935
26.2685;114.42688;0.42137097
26.2686;114.22925;0.42540323
26.2687;113.04348;0.40725806
26.2688;111.85771;0.35080645
26.2689;110.27668;0.38306452
26.269;108.49802;0.40524194
26.2691;107.31225;0.39516129
26.2692;105.92885;0.39717742
26.2693;104.1502;0.42137097
26.2694;102.7668;0.41733871
26.2695;100.98814;0.3891129
26.2696;99.604743;0.41532258
26.2697;97.43083;0.41532258
26.2698;96.442688;0.39919355
26.2699;95.849802;0.39717742
26.27;95.652174;0.36491935
26.2701;95.849802;0.35080645
26.2702;95.652174;0.49596774
26.2703;95.652174;0.52217742
26.2704;95.059289;0.43951613
26.2705;94.466403;0.3608871
26.2706;94.86166;0.40322581
26.2707;94.268775;0.41532258
26.2708;94.466403;0.42741935
26.2709;94.268775;0.42540323
26.271;93.675889;0.37701613
26.2711;108.49802;0.30443548
26.2712;111.46245;0.36491935
26.2713;112.84585;0.28629032
26.2714;113.63636;0.11895161
26.2715;114.82213;0.32459677
26.2716;114.62451;0.34274194
26.2717;115.01976;0.28427419
26.2718;113.83399;0.24798387
26.2719;114.03162;0.42137097
26.272;112.84585;0.37701613
26.2721;111.46245;0.33870968
26.2722;110.07905;0.34274194
26.2723;108.69565;0.34274194
26.2724;107.31225;0.3266129
26.2725;105.33597;0.32258065
26.2726;103.75494;0.32258065
26.2727;102.17391;0.3266129
26.2728;100.79051;0.33467742
26.2729;99.209486;0.32258065
26.273;97.233202;0.31653226
26.2731;95.454545;0.32258065
26.2732;93.280632;0.33266129
26.2733;93.280632;0.35685484
26.2734;93.280632;0.35080645
26.2735;93.280632;0.35483871
26.2736;93.083004;0.34072581
26.2737;92.687747;0.35685484
26.2738;92.490119;0.30645161
