13,3	76.000000 	 -0.022396 	 0.806259 	 0.783863 
13,4	74.000000 	 0.000000 	 0.783863 	 0.783863 
13,5	76.000000 	 0.011198 	 0.772665 	 0.783863 
13,6	78.000000 	 0.011198 	 0.772665 	 0.783863 
13,7	78.000000 	 -0.033594 	 0.817457 	 0.783863 
13,8	76.000000 	 -0.011198 	 0.806259 	 0.795061 
13,9	74.000000 	 -0.011198 	 0.795061 	 0.783863 
14	76.000000 	 0.000000 	 0.783863 	 0.783863 
14,1	76.000000 	 -0.011198 	 0.795061 	 0.783863 
14,2	74.000000 	 0.000000 	 0.783863 	 0.783863 
14,3	76.000000 	 0.011198 	 0.772665 	 0.783863 
14,4	78.000000 	 0.011198 	 0.772665 	 0.783863 
14,5	80.000000 	 -0.011198 	 0.795061 	 0.783863 
14,6	78.000000 	 -0.022396 	 0.806259 	 0.783863 
14,7	76.000000 	 -0.022396 	 0.806259 	 0.783863 
14,8	74.000000 	 0.000000 	 0.783863 	 0.783863 
14,9	76.000000 	 -0.011198 	 0.761467 	 0.750269 
15	74.000000 	 0.000000 	 0.772665 	 0.772665 
15,1	76.000000 	 0.022396 	 0.761467 	 0.783863 
15,2	78.000000 	 0.011198 	 0.772665 	 0.783863 
15,3	76.000000 	 0.000000 	 0.783863 	 0.783863 
15,4	78.000000 	 0.000000 	 0.783863 	 0.783863 
15,5	74.000000 	 0.000000 	 0.783863 	 0.783863 
15,6	76.000000 	 0.011198 	 0.772665 	 0.783863 
15,7	78.000000 	 -2.071639 	 2.855502 	 0.783863 
15,8	76.000000 	 0.011198 	 0.772665 	 0.783863 
15,9	72.000000 	 0.011198 	 0.772665 	 0.783863 
16	70.000000 	 0.011198 	 0.750269 	 0.761467 
16,1	68.000000 	 0.044792 	 0.739071 	 0.783863 
16,2	66.000000 	 0.067188 	 0.716675 	 0.783863 
16,3	68.000000 	 0.100782 	 0.683081 	 0.783863 
16,4	70.000000 	 0.100782 	 0.683081 	 0.783863 
16,5	72.000000 	 0.089584 	 0.694279 	 0.783863 
16,6	74.000000 	 0.067188 	 0.716675 	 0.783863 
